,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
It Happened One Night (1934),1.0,99%,It Happened One Night (1934),98,,"Comedy, Romance",English,Frank Capra,"Frank Capra, Harry Cohn","Samuel Hopkins Adams, Robert Riskin","Feb 22, 1934 original","Dec 28, 1999",,1h 45m,"Columbia Pictures, Columbia TriStar Home Video, RCA/Columbia",Mono,"35mm, Flat (1.37:1)",
Modern Times (1936),2.0,98%,Modern Times (1936),109,G,Comedy,English,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,"Feb 5, 1936 wide","Nov 16, 2010",$163.2K,1h 29m,United Artists,Mono,Flat (1.37:1),
Toy Story 4 (2019),3.0,97%,Toy Story 4 (2019),453,G,"Fantasy, Animation, Kids & family, Adventure, Comedy",English,Josh Cooley,"Mark Nielsen, Jonas Rivera, Galyn Susman","Andrew Stanton, Stephany Folsom","Jun 21, 2019 wide","Oct 1, 2019",$434.0M,1h 40m,Walt Disney,"DTS, Dolby Digital, Dolby Atmos",Scope (2.35:1),Pixar
Lady Bird (2017),4.0,99%,Lady Bird (2017),398,R (Language|Brief Graphic Nudity|Sexual Content|Teen Partying),"Drama, Comedy",English,Greta Gerwig,"Scott Rudin, Eli Bush, Evelyn O'Neill",Greta Gerwig,"Nov 22, 2017 wide","Mar 6, 2018",$48.9M,1h 34m,A24,Dolby Digital,Flat (1.85:1),
BlacKkKlansman (2018),5.0,96%,BlacKkKlansman (2018),447,R (Language Throughout|Disturbing/Violent Material|Racial Epithets|Some Sexual References),"Drama, Comedy, Crime",English,Spike Lee,"Sean McKittrick, Raymond Mansfield, Jason Blum, Jordan Peele, Spike Lee, Shaun Redick","Charlie Wachtel, David Rabinowitz, Kevin Willmott, Spike Lee","Aug 10, 2018 wide","Nov 6, 2018",$48.6M,2h 14m,Focus Features,Dolby Atmos,Scope (2.35:1),
The Philadelphia Story (1940),6.0,100%,The Philadelphia Story (1940),102,,"Comedy, Romance",English,George Cukor,Joseph L. Mankiewicz,"Philip Barry, Donald Ogden Stewart, Waldo Salt","Dec 1, 1940 original","May 16, 2000",,1h 52m,Metro-Goldwyn-Mayer,Mono,,
Eighth Grade (2018),7.0,99%,Eighth Grade (2018),319,R (Some Sexual Material|Language),"Drama, Comedy",English,Bo Burnham,"Scott Rudin, Eli Bush, Lila Yacoub, Christopher Storer",Bo Burnham,"Aug 3, 2018 wide","Oct 9, 2018",$13.5M,1h 33m,A24,,Flat (1.85:1),
Booksmart (2019),8.0,96%,Booksmart (2019),378,R (Language Throughout|Drug Use and Drinking|Strong Sexual Content),"Comedy, Lgbtq+",English,Olivia Wilde,"Megan Ellison, Jessica Elbaum, Katie Silberman, Chelsea Barnard, David Distenfeld","Katie Silberman, Emily Halpern, Sarah Haskins, Susanna Fogel","May 24, 2019 wide","Aug 20, 2019",$22.7M,1h 42m,Annapurna Pictures,,Scope (2.35:1),
His Girl Friday (1940),9.0,99%,His Girl Friday (1940),100,,Comedy,English,Howard Hawks,Howard Hawks,"Ben Hecht, Charles MacArthur, Charles Lederer","Jan 11, 1940 original","Nov 21, 2000",,1h 32m,Columbia Pictures,Mono,35mm,
Coco (2017),10.0,97%,Coco (2017),354,PG (Thematic Elements),"Adventure, Comedy, Animation, Music",English,Lee Unkrich,Darla K. Anderson,"Adrian Molina, Matthew Aldrich","Nov 22, 2017 wide","Feb 13, 2018",$210.5M,1h 49m,Walt Disney,Dolby Atmos,Scope (2.35:1),Pixar
A Night at the Opera (1935),11.0,97%,A Night at the Opera (1935),70,,Comedy,English,Sam Wood,,,"Nov 15, 1935 original","May 4, 2004",,1h 33m,Metro-Goldwyn-Mayer,,,
The Farewell (2019),12.0,97%,The Farewell (2019),345,PG (Some Smoking|Brief Language|Thematic Material),"Drama, Comedy",English,Lulu Wang,"Chris Weitz, Andrew Miano, Peter Saraf, Marc Turtletaub, Anita Gou, Daniele Tate Melia, Jane Zheng, Dani Melia",Lulu Wang,"Aug 2, 2019 wide","Aug 27, 2019",$17.7M,1h 40m,A24,,Scope (2.35:1),
Singin' in the Rain (1952),13.0,100%,Singin' in the Rain (1952),67,G,"Musical, Comedy",English,"Stanley Donen, Gene Kelly",Arthur Freed,"Betty Comden, Adolph Green","Apr 10, 1952 wide","Sep 24, 2002",$23.9K,1h 42m,Metro-Goldwyn-Mayer,Mono,Flat (1.37:1),
The Big Sick (2017),14.0,98%,The Big Sick (2017),305,R (Some Sexual References|Language),"Comedy, Romance",English,Michael Showalter,"Judd Apatow, Barry Mendel","Emily V. Gordon, Kumail Nanjiani","Jul 14, 2017 wide","Sep 19, 2017",$42.9M,2h 0m,"Lionsgate Films, Amazon Studios",Dolby Digital,Flat (1.85:1),
Once Upon a Time In Hollywood (2019),15.0,85%,Once Upon a Time In Hollywood (2019),571,R (Language Throughout|Drug Use|Sexual References|Some Strong Graphic Violence),"Drama, Comedy",English,Quentin Tarantino,"David Heyman, Shannon McIntosh, Quentin Tarantino",Quentin Tarantino,"Jul 26, 2019 wide","Aug 27, 2019",$142.4M,2h 39m,"Columbia Pictures, Sony Pictures Entertainment",Dolby Digital,Scope (2.35:1),
The Kid (1921),16.0,100%,The Kid (1921),49,,"Drama, Comedy",English,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,"Jan 21, 1921 original","May 1, 2005",,1h 0m,,,,
La La Land (2016),17.0,91%,La La Land (2016),467,PG-13 (Some Language),"Drama, Musical, Comedy, Romance",English,Damien Chazelle,"Fred Berger, Jordan Horowitz, Marc Platt, Gary Gilbert",Damien Chazelle,"Dec 25, 2016 wide","Apr 25, 2017",$151.1M,2h 8m,Lionsgate Films,"DTS, Dolby Digital, Dolby Atmos",Scope (2.35:1),
Zootopia (2016),18.0,98%,Zootopia (2016),298,PG (Rude Humor|Action|Some Thematic Elements),"Kids & family, Adventure, Comedy, Animation",English,"Byron Howard, Rich Moore",Clark Spencer,"Jared Bush, Phil Johnston","Mar 4, 2016 wide","Jun 7, 2016",,1h 48m,Walt Disney,Dolby Atmos,,
Paddington 2 (2018),19.0,99%,Paddington 2 (2018),247,PG (Some Action|Mild Rude Humor),"Kids & family, Adventure, Comedy",English (United Kingdom),Paul King,David Heyman,"Paul King, Simon Farnaby","Jan 12, 2018 wide","Apr 24, 2018",$38.4M,1h 43m,Warner Bros. Pictures,Dolby Atmos,Scope (2.35:1),
A Hard Day's Night (1964),20.0,98%,A Hard Day's Night (1964),112,G,"Musical, Comedy",English,Richard Lester,Walter Shenson,Alun Owen,"Aug 11, 1964 wide","Sep 24, 2002",,1h 23m,Miramax Films,"Stereo, Surround",Flat (1.66:1),
Top Hat (1935),21.0,100%,Top Hat (1935),42,,"Musical, Romance",English,Mark Sandrich,Pandro S. Berman,"Aladar Laszlo, Károly Nóti, Allan Scott, Dwight Taylor","Sep 6, 1935 wide","Aug 16, 2005",,1h 39m,RKO Radio Pictures,Mono,Flat (1.37:1),
Up (2009),22.0,98%,Up (2009),298,PG (Some Peril|Action),"Kids & family, Adventure, Comedy, Animation",English,"Pete Docter, Bob Peterson",Jonas Rivera,"Bob Peterson, Pete Docter","May 29, 2009 wide","Nov 10, 2009",,1h 29m,"Walt Disney, Pixar Animation Studios",,,Pixar
Toy Story 3 (2010),23.0,98%,Toy Story 3 (2010),309,G,"Fantasy, Animation, Kids & family, Adventure, Comedy",English,Lee Unkrich,Darla K. Anderson,Michael Arndt,"Jun 18, 2010 wide","Nov 2, 2010",$415.0M,1h 42m,Walt Disney,"SDDS, Dolby Digital, DTS",,Pixar
Toy Story 2 (1999),24.0,100%,Toy Story 2 (1999),170,G,"Fantasy, Animation, Kids & family, Adventure, Comedy",English,"Ash Brannon, John Lasseter, Lee Unkrich","Karen Robert Jackson, Helene Plotkin","John Lasseter, Pete Docter, Ash Brannon, Andrew Stanton, Andrew Stanton, Rita Hsiao, Doug Chamberlain, Chris Webb","Nov 24, 1999 wide","Mar 23, 2010",$245.9M,1h 32m,Walt Disney Pictures,"Dolby SR, Dolby Stereo, Surround, SDDS, DTS, Dolby EX, Dolby Digital","Digital Projection, Flat (1.85:1)",Pixar
"Three Billboards Outside Ebbing, Missouri (2017)",25.0,90%,"Three Billboards Outside Ebbing, Missouri (2017)",409,R (Some Sexual References|Language Throughout|Violence),"Drama, Comedy, Crime",English,Martin McDonagh,"Graham Broadbent, Peter Czernin, Martin McDonagh",Martin McDonagh,"Nov 22, 2017 wide","Feb 27, 2018",$54.1M,1h 55m,Fox Searchlight,Dolby Digital,Scope (2.35:1),
The Lady Eve (1941),26.0,100%,The Lady Eve (1941),48,,"Comedy, Romance",English,Preston Sturges,Paul Jones,"Monckton Hoffe, Preston Sturges","Feb 25, 1941 original","Oct 16, 2001",,1h 37m,"Criterion Collection, Paramount Pictures",Mono,"35mm, Flat (1.37:1)",
Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),27.0,98%,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),93,PG,Comedy,English,Stanley Kubrick,Stanley Kubrick,"Stanley Kubrick, Terry Southern, Peter George","Jan 29, 1964 wide","Oct 21, 2003",,1h 33m,Columbia Pictures,Mono,Flat (1.85:1),
Finding Nemo (2003),28.0,99%,Finding Nemo (2003),269,G,"Kids & family, Adventure, Comedy, Animation",English,Andrew Stanton,Graham Walters,"Andrew Stanton, Andrew Stanton, Bob Peterson, David Reynolds","May 30, 2003 wide","Nov 4, 2003",,1h 40m,Walt Disney Pictures,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",Flat (1.85:1),Pixar
The Thin Man (1934),29.0,98%,The Thin Man (1934),43,,"Drama, Comedy",English,W. S. Van Dyke II,Hunt Stromberg,"Dashiell Hammett, Albert Hackett, Frances Goodrich","Jun 1, 1934 wide","Aug 2, 2005",,1h 33m,Metro-Goldwyn-Mayer,,,
The Gold Rush (1925),30.0,100%,The Gold Rush (1925),50,,"Drama, Adventure, Comedy",English,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,"Jun 26, 1925 wide","Jun 12, 2012",,1h 22m,United Artists,,Academy (1.33:1),
Kind Hearts and Coronets (1949),31.0,100%,Kind Hearts and Coronets (1949),47,,"Drama, Comedy, Crime",English,Robert Hamer,John Dighton,"Roy Horniman, Robert Hamer, John Dighton","Jun 14, 1950 wide","Feb 28, 2006",$35.9K,1h 44m,"Anchor Bay Entertainment, General Film Distributors, Eagle-Lion Films Inc. [us]",,,
Sorry to Bother You (2018),32.0,93%,Sorry to Bother You (2018),311,R (Graphic Nudity|Drug Use|Pervasive Language|Some Strong Sexual Content),"Fantasy, Comedy, Sci-fi",English,Boots Riley,"Nina Yang Bongiovi, Forest Whitaker, Charles D. King, George Rush, Jonathan Duffy, Kelly Williams",Boots Riley,"Jul 13, 2018 wide","Oct 23, 2018",$17.5M,1h 45m,Annapurna Pictures,,Scope (2.35:1),
Paterson (2016),33.0,96%,Paterson (2016),262,R (Some Language),"Drama, Comedy",English,Jim Jarmusch,"Joshua Astrachan, Carter Logan",Jim Jarmusch,"Dec 28, 2016 limited","Apr 4, 2017",$2.1M,1h 58m,"Amazon Studios, Bleecker Street Media",,,
The LEGO Movie (2014),34.0,96%,The LEGO Movie (2014),253,PG (Rude Humor|Mild Action),"Kids & family, Adventure, Comedy, Animation",English,"Phil Lord, Chris Miller","Dan Lin, Roy Lee","Phil Lord, Chris Miller","Feb 7, 2014 wide","Jun 17, 2014",$257.8M,1h 35m,Warner Bros. Pictures,,,
Ant-Man and the Wasp (2018),35.0,87%,Ant-Man and the Wasp (2018),439,PG-13 (Sci-Fi Action Violence),"Fantasy, Adventure, Comedy, Action",English,Peyton Reed,"Kevin Feige, Stephen Broussard","Chris McKenna, Erik Sommers, Paul Rudd, Andrew Barrer, Gabriel Ferrari","Jul 6, 2018 wide","Dec 8, 2015",$216.6M,1h 58m,Walt Disney,"DTS, Dolby Atmos",Scope (2.35:1),Marvel Cinematic Universe
The Disaster Artist (2017),36.0,91%,The Disaster Artist (2017),351,R (Some Sexuality/Nudity|Language Throughout),"Drama, Comedy",English,James Franco,"James Franco, Evan Goldberg, Vince Jolivette, Seth Rogen, James Weaver","Scott Neustadter, Michael H. Weber","Dec 8, 2017 wide","Mar 13, 2018",$21.1M,1h 43m,A24,"Dolby Atmos, Dolby Digital",Scope (2.35:1),
Toy Story (1995),37.0,100%,Toy Story (1995),92,G,"Fantasy, Animation, Kids & family, Adventure, Comedy",English,John Lasseter,"Ralph Guggenheim, Bonnie Arnold","John Lasseter, Pete Docter, Joe Ranft, Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow","Nov 22, 1995 original","Mar 23, 2010",$31.3M,1h 20m,"Warner Home Vídeo, Buena Vista Pictures",,,Pixar
Crazy Rich Asians (2018),38.0,90%,Crazy Rich Asians (2018),367,PG-13 (Some Suggestive Content|Language),"Comedy, Romance",English,Jon M. Chu,"Nina Jacobson, Brad Simpson, John Penotti","Peter Chiarelli, Adele Lim","Aug 15, 2018 wide","Nov 20, 2018",$174.5M,2h 0m,Warner Bros. Pictures,"Dolby Digital, DTS, SDDS",Scope (2.35:1),
Isle of Dogs (2018),39.0,90%,Isle of Dogs (2018),367,PG-13 (Thematic Elements|Some Violent Images),"Adventure, Comedy, Animation",English,Wes Anderson,"Wes Anderson, Scott Rudin, Steven Rales, Jeremy Dawson",Wes Anderson,"Apr 6, 2018 wide","Jul 17, 2018",$31.9M,1h 41m,Fox Searchlight,Dolby Digital,Scope (2.35:1),
Birdman (2014),40.0,91%,Birdman (2014),356,R (Language Throughout|Brief Violence|Some Sexual Content),"Drama, Comedy",English,Alejandro González Iñárritu,"Alejandro González Iñárritu, John Lesher, Arnon Milchan, James W. Skotchdopole","Alejandro González Iñárritu, Nicolás Giacobone, Alexander Dinelaris Jr., Armando Bo","Jan 16, 2015 wide","Feb 17, 2015",$42.3M,1h 59m,Fox Searchlight,,,
The Artist (2011),41.0,95%,The Artist (2011),322,PG-13 (A Disturbing Image|A Crude Gesture),"Drama, Comedy, Romance",,Michel Hazanavicius,Thomas Langmann,Michel Hazanavicius,"Nov 23, 2011 limited","Apr 24, 2012",$44.7M,1h 40m,Weinstein Co.,,,
The Death of Stalin (2018),42.0,95%,The Death of Stalin (2018),249,R (Some Sexual References|Language Throughout|Violence),Comedy,English,Armando Iannucci,"Nicolas Duval-Adassovsky, Kevin Loader, Laurent Zeitoun, Yann Zenou","Armando Iannucci, David Schneider, Ian Martin","Mar 9, 2018 limited","Jun 11, 2018",$8.0M,1h 47m,IFC Films,,Flat (1.85:1),
La Dolce Vita (1960),43.0,96%,La Dolce Vita (1960),75,,Drama,English,Federico Fellini,"Angelo Rizzoli, Giuseppe Amato","Federico Fellini, Ennio Flaiano, Pier Paolo Pasolini, Tullio Pinelli","Apr 19, 1960 original","Sep 21, 2004",,2h 55m,"American International Pictures, Astor Pictures Corporation, Republic Pictures",,,
Palm Springs (2020),44.0,95%,Palm Springs (2020),244,R (Sexual Content|Language Throughout|Drug Use|Some Violence),"Comedy, Romance",English,Max Barbakow,"Chris Parker, Andy Samberg, Akiva Schaffer, Dylan Sellers, Becky Sloviter, Jorma Taccone",Andy Siara,"Jul 10, 2020 limited","Jul 10, 2020",,1h 30m,Hulu,,Scope (2.35:1),
Shaun the Sheep Movie (2015),45.0,99%,Shaun the Sheep Movie (2015),170,PG (Rude Humor),"Kids & family, Adventure, Comedy, Animation",English,"Mark Burton, Richard Starzak","Julie Lockhart, Paul Kewley","Mark Burton, Richard Starzak","Aug 5, 2015 wide","Nov 24, 2015",$19.4M,1h 25m,Lionsgate Films,,,
Monty Python and the Holy Grail (1975),46.0,97%,Monty Python and the Holy Grail (1975),78,PG,Comedy,English,"Terry Gilliam, Terry Jones",Mark Forstater,"Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones, Michael Palin","Apr 1, 1975 wide","Jun 8, 2004",$1.8M,1h 30m,Columbia Pictures,Mono,Flat (1.85:1),
Roman Holiday (1953),47.0,97%,Roman Holiday (1953),60,,"Comedy, Romance",English,William Wyler,William Wyler,"Dalton Trumbo, Ian McLellan Hunter, John Dighton","Aug 27, 1953 original","Nov 26, 2002",,1h 59m,Paramount Pictures,Mono,,
Spy (2015),48.0,95%,Spy (2015),259,R (Language Throughout|Brief Graphic Nudity|Some Sexual Content|Violence),"Comedy, Action",English,Paul Feig,"Peter Chernin, Jenno Topping, Paul Feig, Jessie Henderson",Paul Feig,"Jun 5, 2015 wide","Sep 29, 2015",,1h 55m,20th Century Fox,Dolby Atmos,,
